emotion,affective_evaluation_and_mood_congruent_judgment_biases,attention_salience_and_signal_detection_biases,evidence_search_hypothesis_testing_and_belief_updating_biases,interface_choice_architecture_automation_and_warning_response_biases,memory_familiarity_and_source_monitoring_biases,privacy_disclosure_and_self_presentation_biases,risk_probability_uncertainty_and_outcome_valuation_biases,self_assessment_attribution_and_metacognitive_biases,social_influence_authority_affiliation_and_identity_biases,temporal_choice_default_action_and_commitment_biases,trust_source_credibility_and_truth_judgment_biases
inspired,450,-350,-250,-250,215,420,450,450,450,-450,450
insulted,820,650,680,420,450,680,650,780,420,420,-450
intimidated,820,780,680,780,680,680,680,-450,875,780,780
invigorated,650,-350,420,420,350,420,680,650,420,-450,450
irate,850,780,780,780,650,780,650,780,-450,650,-450
irked,450,420,420,420,350,320,320,350,-350,450,-250
irritated,680,650,450,680,450,450,450,450,-350,450,-350
isolated,680,420,420,420,420,680,420,420,680,420,680
jealous,780,450,680,420,420,420,450,450,450,420,450
jittery,680,650,450,680,450,420,680,-350,680,680,450
joyful,850,450,650,650,650,680,650,650,650,450,650
jubilant,850,780,680,740,680,780,780,820,680,650,780
let down,680,450,-350,420,320,420,420,-350,-450,420,-450
lighthearted,650,350,350,420,420,420,450,420,350,280,450
lonely,780,450,420,420,450,780,450,320,780,420,680
longing,780,420,420,420,420,680,450,320,680,680,680
lovestruck,875,850,780,780,680,875,780,650,820,680,850
loving,850,450,450,320,420,780,450,-250,680,-350,780
melancholic,750,-350,-450,-350,-450,-450,-450,-450,-350,450,-450
miserable,850,-350,-450,450,-450,450,-450,-650,450,680,-450
mistrustful,850,-650,-450,-750,-650,-850,-650,-450,-850,-450,-850
mortified,820,680,-450,680,450,-650,450,-750,780,680,680
moved,680,215,215,320,420,420,240,-250,680,320,450
needy,820,680,680,680,680,840,780,-450,840,780,820
nervous,780,650,450,450,450,-450,-450,-450,680,650,450
nostalgic,680,420,320,340,680,420,320,-180,420,450,420
numb,-750,650,450,680,450,450,450,-350,-450,650,450
offended,780,650,680,420,420,450,450,680,420,450,-450
on edge,820,650,650,450,450,-450,680,-450,680,650,-450
optimistic,850,450,650,680,650,780,850,780,450,450,650
outraged,850,780,850,680,650,680,680,780,680,450,650
overjoyed,850,650,680,680,680,780,780,780,680,650,780
overwhelmed,875,850,820,875,820,780,780,680,820,850,820
panicked,920,850,850,850,820,850,850,650,850,850,850
paranoid,850,650,850,-650,-450,-850,-650,-450,-750,-450,-750
passionate,820,450,680,420,450,680,680,680,680,450,650
peaceful,150,-350,-250,-250,-250,-250,-350,-250,-250,-450,250
pensive,-350,-350,-350,-350,-350,-450,-350,-450,-350,-450,-350
pessimistic,850,-450,-450,-450,-450,-650,-650,-650,-450,450,-450
playful,720,450,-350,450,420,680,680,450,-350,-350,450
pleased,750,350,450,450,450,450,450,450,450,350,450
powerless,780,680,450,680,650,680,680,-650,820,780,680
proud,650,450,450,420,420,450,450,680,420,350,450
rattled,820,780,780,780,680,680,780,-450,780,780,680
raw,920,780,780,780,680,780,680,780,680,780,780
reassured,650,650,450,680,450,680,650,420,450,450,650
reflective,-750,-650,-650,-650,-650,-650,-650,-650,-650,-650,-650
regretful,650,-450,-450,-450,-450,-450,-450,-650,420,450,-450
rejected,820,450,450,420,420,680,450,-450,780,680,450
relaxed,450,-350,350,450,350,450,450,350,280,350,450
relieved,450,450,420,420,350,420,450,450,420,420,450
remorseful,650,-350,-350,-350,-350,-450,-450,-650,450,-450,-350
resentful,820,450,680,680,450,680,680,680,-450,680,420
resigned,680,780,680,780,450,780,650,-450,680,780,650
restless,680,450,450,680,420,420,450,420,420,450,450
romantic,850,650,680,450,450,820,680,450,650,450,680
safe,450,450,350,450,450,450,450,320,320,350,450
satisfied,650,350,450,450,420,450,450,450,350,450,450
scared,850,650,650,650,650,-650,780,-650,850,650,780
scornful,820,-450,420,-450,-450,420,-450,780,-750,-450,-650
secure,650,-450,-350,420,320,420,450,450,-350,-450,350
self-assured,450,-450,680,450,450,450,650,780,-450,420,450
self-conscious,650,-350,-350,-350,-350,-650,-350,-450,780,-450,450
self-critical,650,-450,-450,-450,-450,-450,-450,-650,680,-450,-450
self-doubting,680,450,-450,680,450,-450,-450,-750,820,680,650
sentimental,780,420,420,320,620,420,420,180,680,420,420
serene,180,-350,-350,-350,-250,-350,-350,-350,-250,-450,-350
shaken,820,680,680,680,680,420,680,-650,780,780,680
shamefaced,780,450,420,420,-350,-650,450,-650,780,450,450
shell-shocked,850,850,780,850,850,680,850,-750,850,850,850
shocked,850,780,680,680,650,680,780,-450,780,650,780
smitten,850,780,780,680,680,850,780,680,850,680,850
soothed,450,-350,-250,420,320,380,320,180,280,240,450
sorrowful,850,450,-350,450,-350,450,-350,-450,450,450,-450
spiteful,850,450,680,680,450,780,680,780,-650,-450,-650
startled,780,780,680,780,650,680,780,-450,780,680,680
stressed,850,780,750,780,720,680,750,650,780,780,780
suffocated,840,820,680,840,680,680,680,420,-450,780,680
sulky,780,450,420,420,380,420,420,420,-450,420,-350
surprised,-450,-450,-450,-450,-450,450,450,-450,450,-350,450
suspicious,850,-650,-650,-650,-650,-850,-650,-450,-750,-650,-850
sympathetic,780,450,450,380,450,720,450,-250,780,420,680
tender,650,-250,240,320,380,680,320,-250,420,210,450
tense,680,650,450,450,450,420,450,-350,650,680,450
terrified,920,850,850,850,780,680,850,-650,850,850,850
thankful,450,-250,180,320,280,420,240,-250,420,-450,450
threatened,850,650,780,650,650,-450,780,650,820,780,680
thrilled,850,650,720,680,650,780,780,780,680,650,780
tormented,875,850,680,840,680,780,680,-650,780,820,680
torn,-450,450,-450,-350,-350,-350,450,-450,450,-350,-450
touched,680,450,380,380,420,680,320,-250,680,240,650
tranquil,-450,-450,-350,-350,-250,-350,-350,-350,-350,-450,-350
trapped,820,780,680,780,680,680,780,-450,780,780,680
triumphant,850,680,680,680,680,780,780,850,420,450,680
trusting,850,680,780,780,650,850,780,450,850,450,850
uneasy,680,-350,-350,-350,-350,-450,-350,-450,450,450,-450
unfulfilled,680,450,420,420,420,420,420,340,680,450,420
unhappy,850,-350,-350,-350,-450,-350,-450,-450,-350,450,-450
unnerved,780,680,680,425,450,-450,680,-450,680,680,450
unsafe,850,650,650,-450,-450,-650,650,-450,780,680,-450
unsettled,680,450,450,-350,450,-350,450,-450,650,450,-350
unsupported,780,680,420,680,420,680,420,420,680,680,420
upset,850,650,450,680,450,680,650,450,450,650,450
vengeful,850,680,820,680,450,850,680,780,420,680,450
vindictive,850,680,820,450,450,820,680,780,-650,680,450
violated,850,680,680,-450,450,-750,680,680,-650,-450,-650
vulnerable,820,680,680,680,680,680,680,-450,820,680,780
warm,680,320,350,420,420,420,450,320,420,280,450
wary,-450,-450,-450,-450,-450,-650,-450,-450,-650,-450,-650
wistful,450,-150,-180,215,420,320,-180,-250,320,320,240
withdrawn,680,450,-350,450,350,-450,420,-450,-450,680,-350
worried,780,650,450,450,450,-450,450,-450,680,450,450
wrathful,850,780,850,680,450,780,650,850,-450,450,-450
yearning,780,650,620,420,420,680,680,420,780,680,680
